t,x,y,z
1782661522.364,1.42059,0.04648,0.11571
1782661522.397,1.42507,0.05084,0.11704
1782661522.431,1.43249,0.05103,0.11386
1782661522.464,1.44013,0.04956,0.11275
1782661522.564,1.46149,0.04799,0.11568
1782661522.597,1.46709,0.05053,0.11291
1782661522.631,1.47436,0.04962,0.11816
1782661522.664,1.47980,0.05254,0.12033
1782661522.731,1.49211,0.05321,0.12312
1782661522.764,1.49965,0.05180,0.12268
1782661522.797,1.50429,0.05433,0.12198
1782661522.831,1.51224,0.05140,0.12555
1782661522.864,1.51571,0.05616,0.12767
1782661522.897,1.52426,0.05292,0.12364
1782661522.931,1.53064,0.05319,0.12482
1782661522.998,1.54168,0.05744,0.12303
1782661523.031,1.54728,0.05891,0.12594
1782661523.064,1.55443,0.05776,0.12941
1782661523.098,1.56208,0.05559,0.12873
1782661523.131,1.56489,0.06303,0.12741
1782661523.164,1.57020,0.06599,0.13020
1782661523.198,1.57690,0.06578,0.13175
1782661523.231,1.58252,0.06772,0.13210
1782661523.264,1.58886,0.06991,0.13033
1782661523.298,1.59706,0.06672,0.13422
1782661523.364,1.60806,0.07178,0.13414
1782661523.398,1.61662,0.07187,0.13663
1782661523.465,1.63061,0.07032,0.14627
1782661523.498,1.64078,0.06499,0.14714
1782661523.531,1.64183,0.07939,0.14683
1782661523.565,1.65318,0.07214,0.14683
1782661523.598,1.65447,0.07897,0.14776
1782661523.631,1.66311,0.07930,0.14646
1782661523.731,1.68653,0.07516,0.15333
1782661523.765,1.69204,0.07650,0.15214
1782661523.798,1.69871,0.08291,0.14933
1782661523.831,1.70343,0.08707,0.14757
1782661523.865,1.70795,0.08953,0.14866
1782661523.932,1.72162,0.08533,0.15347
1782661523.965,1.72924,0.07950,0.16006
1782661524.032,1.74558,0.06564,0.17112
1782661524.065,1.75824,0.05346,0.18243
1782661524.165,1.78671,0.03400,0.18950
1782661524.198,1.79204,0.03624,0.18730
1782661524.265,1.79556,0.06129,0.16287
1782661524.298,1.79985,0.06341,0.16316
1782661524.332,1.80613,0.06195,0.16312
1782661524.365,1.81228,0.05907,0.16482
1782661524.399,1.81975,0.05581,0.16683
1782661524.432,1.82546,0.05634,0.16549
1782661524.465,1.82964,0.05634,0.16585
1782661524.499,1.83319,0.06020,0.16044
1782661524.532,1.83818,0.06067,0.15932
1782661524.565,1.84290,0.05949,0.15980
1782661524.599,1.85147,0.05274,0.16330
1782661524.632,1.85701,0.05284,0.16283
1782661524.665,1.85701,0.05284,0.16283
1782661524.699,1.86995,0.04705,0.16795
1782661524.732,1.87752,0.04444,0.16939
1782661524.765,1.88499,0.04238,0.17047
1782661524.799,1.89203,0.04212,0.17025
1782661524.832,1.89858,0.04094,0.17301
1782661524.899,1.91211,0.04025,0.17281
1782661524.932,1.91962,0.03841,0.17421
1782661524.966,1.92723,0.03745,0.17358
1782661524.999,1.93402,0.03704,0.17328
1782661525.032,1.94155,0.03719,0.17685
1782661525.066,1.94749,0.04473,0.16957
1782661525.099,1.95763,0.03667,0.17250
1782661525.132,1.96366,0.03759,0.17321
1782661525.166,1.97132,0.03545,0.17457
1782661525.199,1.97869,0.03619,0.17337
1782661525.232,1.98597,0.03840,0.17143
1782661525.266,1.99339,0.03437,0.17289
1782661525.299,2.00035,0.03756,0.17149
1782661525.332,2.00694,0.03940,0.17144
1782661525.366,2.01372,0.04110,0.17144
1782661525.399,2.02281,0.03587,0.17279
1782661525.433,2.02841,0.03883,0.17385
1782661525.466,2.02841,0.03883,0.17385
1782661525.533,2.04724,0.03181,0.18445
1782661525.566,2.05622,0.02829,0.18468
1782661525.599,2.05622,0.02829,0.18468
1782661525.633,2.07013,0.02902,0.18425
1782661525.666,2.07908,0.02871,0.18430
1782661525.699,2.07908,0.02871,0.18430
1782661525.733,2.09558,0.02537,0.18487
1782661525.766,2.10231,0.02548,0.18602
1782661525.799,2.10777,0.02818,0.18573
1782661525.833,2.11410,0.02814,0.18662
1782661525.866,2.12077,0.02836,0.18757
1782661525.900,2.12827,0.02717,0.18855
1782661525.933,2.14809,0.02006,0.17821
1782661525.966,2.15466,0.01716,0.18011
1782661526.000,2.15941,0.02138,0.18064
1782661526.033,2.16424,0.02382,0.18293
1782661526.066,2.16424,0.02382,0.18293
1782661526.100,2.16424,0.02382,0.18293
1782661526.133,2.18672,0.00916,0.18366
1782661526.166,2.18672,0.00916,0.18366
